year,party_id,party,lrgen,lrecon,galtan,redistribution
1999,1412,REM,6.599999904632568,5.800000190734863,6.800000190734863,NA
1999,1413,KIPU,4.75,4.5,3.75,NA
2019,1601,V,1.70588231086731,1.764705896377563,1.941176414489746,0.5
2019,1602,S/SAP,3.882352828979492,4.117647171020508,4.411764621734619,2.8125
2019,1603,C,6.823529243469238,8,2.235294103622437,6.75
2019,1604,L,6.529411792755127,7.117647171020508,3.235294103622437,6.25
2019,1605,M,7.705882549285889,7.705882549285889,5.941176414489746,7.1875
2019,1606,KD,7.823529243469238,7.235294342041016,7.058823585510254,6.3125
2019,1607,MP,3.29411768913269,3.941176414489746,1.588235259056091,3
1999,1608,NyD,9,8,6,NA
2010,1609,JL,5.272727489471436,5.222222328186035,4.199999809265137,5.400000095367432
2019,1610,SD,8.470588684082031,5.588235378265381,8.764705657958984,4.6875
2014,1611,PIRAT,5,5.25,1.235294103622437,5.166666507720947
2014,1612,FI,1.809523820877075,1.714285731315613,0.8095238208770752,1.375
2010,2001,NDSV,5.818181991577148,6.181818008422852,4.199999809265137,6.888888835906982
2014,2002,SDS,7.133333206176758,7.6875,3.5,7.647058963775635
2019,2003,BSP,3.25,3,7.142857074737549,3
2019,2004,DPS,4.714285850524902,4.952381134033203,6.142857074737549,4.599999904632568
2019,2005,BMRO,6.900000095367432,4.809523582458496,9.5,4.8125
2002,2006,KSII,6.86,6.29,6.33,NA
2019,2007,Ataka,6.809523582458496,3.526315689086914,9.619047164916992,3.1875
2019,2008,DSB,7.449999809265137,7.949999809265137,4.684210300445557,6.599999904632568
2010,2009,BNS,6.142857074737549,5.625,6.142857074737549,5.5
2019,2010,GERB,6.095238208770752,6.095238208770752,5.761904716491699,5.904761791229248
2010,2011,L,6,4.428571224212646,8.199999809265137,4.5
2010,2012,RZS,6.5,4.166666507720947,8,4.166666507720947
2014,2013,DBG,6.133333206176758,6.533333301544189,3.588235378265381,6.599999904632568
2019,2014,NFSB,7.349999904632568,5.473684310913086,8.899999618530273,5.400000095367432
2014,2015,BBT,6.083333492279053,3.900000095367432,7.454545497894287,3
2014,2016,ABV,3.466666698455811,3.375,5.375,3.133333444595337
2019,2017,Volya,5.55555534362793,5.375,8.526315689086914,5.176470756530762
2019,2018,DB,6.050000190734863,6.777777671813965,2.799999952316284,5.550000190734863
2019,2019,Slavi Trifonov,5.666666507720947,4.333333492279053,6.44444465637207,3.5
2019,2101,CSSD,2.740740776062012,2.592592477798462,4.92307710647583,2.440000057220459
2019,2102,ODS,7.777777671813965,7.703703880310059,7.037036895751953,7.884615421295166
2019,2103,KSCM,1.14814817905426,1.038461565971375,8.074073791503906,1.384615421295166
2019,2104,KDU-CSL,5.888888835906982,5.538461685180664,7.777777671813965,4.458333492279053
2002,2105,US-DEU,6.78,7.53,2.58,NA
2006,2106,SNK-ED,6.67,7.2,2.8,7
2014,2107,SZ,3.857142925262451,3.714285612106323,1.285714268684387,4.090909004211426
2006,2108,Nezavisl,5.5,4.5,4.75,NA
2019,2109,TOP09,7.407407283782959,7.333333492279053,4.851851940155029,7.416666507720947
2010,2110,VV,5.888888835906982,5.894736766815186,4.3125,5.583333492279053
2019,2111,ANO2011,4.692307472229004,4.5,5.730769157409668,3.846153736114502
2014,2112,USVIT,7.692307472229004,5.333333492279053,7.714285850524902,4
2014,2113,SVOBODNI,8.714285850524902,9.230769157409668,4.857142925262451,9
2019,2114,Pirates,4.28000020980835,4.346153736114502,1,4.217391490936279
2019,2115,SPD,8.84615421295166,4.666666507720947,9.370369911193848,4.136363506317139
2019,2116,STAN,6.269230842590332,6.57692289352417,4.07692289352417,6.208333492279053
2019,2201,IRL,7.538461685180664,7.07692289352417,7.384615421295166,6.333333492279053
2019,2202,EK,4.461538314819336,3.769230842590332,4.615384578704834,3.333333253860474
2019,2203,ER,6.461538314819336,7.461538314819336,3.076923131942749,6.916666507720947
2019,2204,SDE,3.076923131942749,3.384615421295166,1.692307710647583,2.666666746139526
2006,2205,KP,2.25,2.33,NA,NA
2010,2206,ERL,4,3.428571224212646,7.142857551574707,3.285714387893677
2014,2207,EER,5.75,6,4.285714149475098,5.333333492279053
2014,2208,EVE,7.375,7.142857074737549,3.857142925262451,6.599999904632568
2019,2209,EKRE,8.461538314819336,4.692307472229004,9.538461685180664,4.75
2019,2210,E200,5.153846263885498,5.846153736114502,2.153846263885498,4.818181991577148
2019,2301,MSZP,3.400000095367432,4,3.733333349227905,3.5
2019,2302,Fidesz-KDNP,8.333333015441895,3.733333349227905,9.199999809265137,5
2010,2303,MDF,6.333333492279053,5.933333396911621,6.400000095367432,5.75
2010,2304,SZDSZ,4,6.75,1.428571462631226,6.090909004211426
2002,2305,MIEP,9.71,4,9.69,NA
2002,2306,CP,4.83,5.5,5.55,NA
2010,2307,KDNP,7.588234901428223,3.058823585510254,8.29411792755127,4.357142925262451
2019,2308,JOBBIK,7.733333110809326,4.133333206176758,8.066666603088379,4.642857074737549
2019,2309,LMP,3.933333396911621,3.733333349227905,3.066666603088379,4
2019,2310,E14,3.571428537368774,4.666666507720947,1.428571462631226,2.75
2019,2311,DK,3.333333253860474,4.666666507720947,2.133333444595337,4.071428775787354
2019,2314,MM,4.400000095367432,5.933333396911621,1.600000023841858,4.357142925262451
2006,2401,JL,7,7,5,7.5
2019,2402,LKS,2.272727251052856,3.200000047683716,7,2.777777671813965
2006,2403,TP,7.25,7.75,5.75,8.25
2006,2404,LPP,7,7.75,8,8
2019,2405,ZZS,5.818181991577148,5.454545497894287,7.636363506317139,5.727272510528564
2019,2406,NA,8.454545021057129,6.090909004211426,8.090909004211426,6.272727489471436
2006,2407,LC,6.75,8,6,8.5
2006,2408,LSDSP,2.25,2.25,6,1.25
2019,2410,SDPS,3.454545497894287,4,6.272727489471436,3.090909004211426
2010,2411,ZRP,6.375,6.666666507720947,5.142857074737549,5.777777671813965
2019,2412,V,6.909090995788574,7.181818008422852,4.818181991577148,6.909090995788574
2014,2413,NSL,5.142857074737549,4.857142925262451,7.714285850524902,4.833333492279053
2019,2414,LRA,6,6.625,6.222222328186035,6.285714149475098
2019,2415,KPV LV,5.699999809265137,5,5.5,5.5
2019,2416,JKP,7.272727489471436,6.181818008422852,7.090909004211426,5.363636493682861
2019,2417,AP!,5.818181991577148,5.900000095367432,1.909090876579285,4.727272510528564
2019,2501,LSDP,2.363636255264282,2.818181753158569,2.727272748947144,3.090909004211426
2002,2502,NDP,3.2,3.75,6.25,NA
2002,2503,LRS,2.2,2.25,7,NA
2010,2504,NS,4.07692289352417,4,5.333333492279053,4
2010,2505,LiCS,6.230769157409668,6.75,4.083333492279053,5.92307710647583
2019,2506,TS-LKD,7.181818008422852,6.727272510528564,6.636363506317139,5.454545497894287
2019,2507,LVZS,5.090909004211426,4,8.454545021057129,5.090909004211426
2002,2508,LKDP,7.4,4.25,8.2,NA
2002,2509,LCS,5.6,6.25,4.2,NA
2002,2510,NKS,6.6,5.5,5.25,NA
2019,2511,LLRA,6.090909004211426,2.818181753158569,9.454545021057129,3.222222328186035
2002,2512,LLS,7.8,0.75,8.75,NA
2002,2513,JL-PKS,9.8,2.25,8.6,NA
2002,2514,MKDS,7,6.75,5,NA
2019,2515,TT,6.636363506317139,4.272727489471436,8.636363983154297,4.222222328186035
2019,2516,DP,4.909090995788574,4.909090995788574,6.099999904632568,5.099999904632568
2010,2517,TPP,5.44444465637207,5.777777671813965,4.5,6
2019,2518,LRLS,6.818181991577148,8.272727012634277,1.909090876579285,6.636363506317139
2010,2519,FRONT,1.153846263885498,1,5.75,0.3846153914928436
2014,2520,DK,6.875,3.333333253860474,9,3
2019,2521,LCP,5.333333492279053,3.777777671813965,8.625,4
2019,2522,LZP,4,4.333333492279053,3.333333253860474,4.333333492279053
2019,2523,VKM-AMT,5.222222328186035,4.111111164093018,3.111111164093018,3.444444417953491
2019,2601,SLD,3.38095235824585,3.904761791229248,3.571428537368774,3.349999904632568
2002,2602,UP,3,2.25,1.38,NA
2019,2603,PO,5.38095235824585,6.571428775787354,4.666666507720947,5.900000095367432
2010,2604,S,4.636363506317139,2.666666746139526,7.75,1.909090876579285
2019,2605,PiS,7.550000190734863,2.952380895614624,9.142857551574707,1.75
2019,2606,PSL,5.285714149475098,4.333333492279053,7.099999904632568,3.450000047683716
2010,2607,LPR,9.25,3.5,9.538461685180664,3.5
2002,2608,AWSP,7.75,4.38,7.5,NA
2006,2609,PD,4.5,7.4,1.17,7.5
2010,2611,SDPL,2.666666746139526,3.416666507720947,2.25,3.333333253860474
2010,2612,SD,4.666666507720947,6.25,3.666666507720947,6.428571224212646
2014,2613,RP,2.529411792755127,4.1875,1.176470637321472,4.133333206176758
2014,2614,KNP,9.529411315917969,9.588234901428223,8.823529243469238,9.588234901428223
2014,2615,PR,7.647058963775635,6.666666507720947,7.6875,6.400000095367432
2014,2616,SP,8.29411792755127,3.375,8.647058486938477,3.25
2019,2617,Kukiz,7.111111164093018,6.75,7.611111164093018,5.375
2019,2618,Nowo,5.157894611358643,7.666666507720947,2.611111164093018,6.722222328186035
2019,2619,Konfederacia,9.526315689086914,9.058823585510254,9.526315689086914,8.058823585510254
2019,2620,Lewica Razem,1.277777791023254,1.29411768913269,1.222222208976746,1.470588207244873
2019,2621,Wiosnia,1.894736886024475,3.5,0.8421052694320679,2.666666746139526
2019,2701,PSD,3.666666746139526,3.375,8.25,2.875
2014,2702,PC,5.529411792755127,5,7.9375,5.25
2010,2703,PRM,5.631578922271729,2.099999904632568,9.449999809265137,1.736842155456543
2014,2704,PDL,6.647058963775635,7.176470756530762,5.588235378265381,6.933333396911621
2019,2705,PNL,7.066666603088379,7.25,6,6.8125
2019,2706,UDMR,5.866666793823242,5.6875,6.0625,5.733333110809326
2002,2707,CDR 2000,6.29,6.71,4.43,NA
2006,2708,FDGR,5.29,6,4.29,4.670000076293945
2014,2709,UNPR,3.428571462631226,3.571428537368774,7.642857074737549,4.230769157409668
2014,2710,PP-DD,4.357142925262451,2.538461446762085,8.625,3.454545497894287
2019,2711,PMP,7.071428775787354,7.357142925262451,7.214285850524902,6.92307710647583
2019,2712,ALDE,6.133333206176758,6.133333206176758,6.25,6.066666603088379
2019,2713,USR,6.466666698455811,6.5,2.625,6
2019,2714,PRO,4.285714149475098,4.533333301544189,6.538461685180664,4.142857074737549
2010,2801,LS-HZDS,5,4.428571224212646,7.214285850524902,4.384615421295166
2014,2802,SDKU-DS,6.857142925262451,7.571428775787354,5.307692527770996,7.384615421295166
2019,2803,Smer-SD,4.25,3.5,7.875,2.125
2019,2804,SMK-MKP,5.92307710647583,5.538461685180664,7.142857074737549,4.090909004211426
2019,2805,KDH,6.625,6.1875,8.0625,5
2002,2806,ANO,6.71,7.5,3.54,NA
2010,2807,KSS,0.692307710647583,0.3333333730697632,6.599999904632568,0.5454545617103577
2002,2808,PSNS,8.5,3.75,8.62,NA
2019,2809,SNS,7.4375,4.4375,8.9375,3.533333301544189
2002,2810,HZD,4.23,3.91,6,NA
2010,2811,SF,5.727272510528564,6,2.75,5.625
2019,2812,SaS,7,8.125,3.1875,8.5
2019,2813,MH,5.199999809265137,5.75,4.8125,5.133333206176758
2019,2814,OLaNO,6.571428775787354,6,6.785714149475098,5
2014,2815,NOVA,7.071428775787354,7.07692289352417,7.07692289352417,7
2019,2816,Siet,5.75,7.75,4,5.666666507720947
2019,2817,LSNS,9.3125,3.9375,9.8125,2.266666650772095
2019,2818,Sme Rodina,7.133333206176758,4.857142925262451,8.4375,2.857142925262451
2019,2819,PS,3.8125,5,1.5,4.3125
2019,2820,SPOLU,5.333333492279053,6.125,3,5.6875
2019,2821,Za Ludi,6,6.625,5,5.400000095367432
2010,2901,LDS,4.75,5.833333492279053,1.583333253860474,5.833333492279053
2019,2902,SDS,8.642857551574707,7.5,8.733333587646484,7
2019,2903,SD,2.571428537368774,3.071428537368774,2.533333301544189,2.714285612106323
2014,2904,SLS,6.461538314819336,6.307692527770996,7.07692289352417,5.699999809265137
2019,2905,NSI,7.5,7.357142925262451,8,6.071428775787354
2019,2906,DeSUS,3.769230842590332,3.285714387893677,5.066666603088379,2.785714387893677
2019,2907,SNS,8.714285850524902,6.307692527770996,8.466666221618652,6.833333492279053
2002,2908,SMS,4.4,4,3.2,NA
2006,2909,AS,4.6,3.8,2.6,3
2010,2910,Zares,3.916666507720947,4.583333492279053,1.75,4.333333492279053
2019,2911,SMC,4.785714149475098,5.142857074737549,4.066666603088379,4.5
2019,2912,Levica,0.7142857313156128,0.7142857313156128,1,1.142857193946838
2019,2913,AB,4.214285850524902,4.357142925262451,3.333333253860474,3.5
2014,2914,PS,3.384615421295166,4.153846263885498,3.461538553237915,4.727272510528564
2019,2915,LMS,4.357142925262451,4.642857074737549,4.642857074737549,4.214285850524902
2019,3101,HDZ,6.875,4.833333492279053,7.125,4.545454502105713
2019,3102,SDP,3.416666746139526,3.833333253860474,2.291666746139526,3.545454502105713
2019,3103,HSS,4.666666507720947,3.545454502105713,4.666666507720947,3.428571462631226
2019,3104,HSLS,5.34782600402832,6.958333492279053,3.545454502105713,6.714285850524902
2019,3105,HNS,4.291666507720947,6.291666507720947,1.916666626930237,5.954545497894287
2019,3106,IDS,3.25,5.26086950302124,1.333333373069763,4.476190567016602
2019,3107,HDSSB,8.409090995788574,5.0625,8.545454978942871,3.666666746139526
2019,3108,HSU,4.400000095367432,2.761904716491699,4.941176414489746,2.333333253860474
2014,3109,HSP,9.25,4.714285850524902,9.375,4.25
2019,3110,SDSS,3.083333253860474,2.736842155456543,2.904761791229248,3.052631616592407
2014,3112,HL-SR,2,2,2.125,1.25
2014,3113,HSP-AS,9,4.75,9.25,4
2014,3114,ORaH,2.444444417953491,3,1,3.125
2019,3115,Most,7.82608699798584,5.772727489471436,8.5,4.449999809265137
2019,3116,ZZ,4.789473533630371,3.190476179122925,4.956521511077881,2.809523820877075
2019,3117,MB 365,5.636363506317139,3.666666746139526,6.043478488922119,3.272727251052856
2019,3118,NS-R,4.636363506317139,6,2.954545497894287,5.761904716491699
2019,3119,HKS,9.260869979858398,6,9.47826099395752,5.07692289352417
2019,3701,PL,6.142857074737549,6.428571224212646,2,3.714285612106323
2019,3702,PN,6.142857074737549,6.428571224212646,6.571428775787354,3.571428537368774
2019,3801,CSV,6,5.5,6,3.5
2019,3802,Greng,4.5,4.5,3,4
2019,3803,DP,5.5,5.5,4,6.5
2019,3804,LSAP,4,4,4,3.5
2019,3805,ADR,8,7,8,4.5
2019,3806,DL,1.5,1.5,2.5,1.5
2019,3807,PPLU,5,5.5,5,5
2019,4001,DISY,7.5,8,6.5,8
2014,4002,EVROKO,8.666666984558105,8.5,7.25,7.5
2019,4003,AKEL,3,2.5,2.5,1
2019,4004,DIKO,5.5,6,6,4.5
2019,4005,EDEK,4.5,4.5,6,4
2019,4006,KOP,4.5,4,3,2
2019,4007,SYM,4.5,4.5,3.5,5
2019,4008,KINHMA,7,7,7.5,5.5
2019,4009,ELAM,10,7.5,10,6
